,time,title,review,comment
46,2021.10.29. 22:45,내일 홍대 갑니다~,친구랑 무신사 테라스 다녀옵니다 서울구경 오랜만에 하네요ㅎㅎ,"[['오우 ㄷㄷ'], ['잘 놀고 오겠습니다ㅎㅎ'], ['홍대 부럽,,,'], ['홍대 너무 재밌어요!']]"
47,2021.10.29. 18:02,불금이니 칼퇴🔥🔥,일 다 끝내고 6시 되자마자 퇴근합니다 후후ㅋㅋㅋㅋ,"[['고생하셨습니다~ 즐거운 주말되세요!'], ['즐거운 주말 보내세요!'], ['시간 빨라요 한 주가 금방가네요'], ['시간 엄청 빠릅니다ㄷㄷ']]"
48,2021.10.28. 22:27,치킨을 시켰지만..,"내일까지 서류 제출이라 집에서 불태우면서 작업 중입니다
치킨 한 입 보고서 한 줄🔥🔥","[['와우 오늘도 바쁜 하루시군여,, 화이팅입니당'], ['저 날 아주 정신 없었네요ㅋㅋㅋㅋ'], ['주말을 즐기자구여 ㅋㅋㅋㅋ'], ['신나게 즐기겠습니다!'], ['어흑.. 고생이 많으시네요ㅠㅠ'], ['다행히 일 잘 마무리 되었습니다ㅎㅎ'], ['어이구... 바쁘십니다.. 치킨은 여유인데 ㅠㅠ'], ['이젠 여유롭게 치킨 뜯어야겠어요 일하면서 먹으니 맛이 그닥ㅠㅠ']]"
49,2021.10.28. 18:55,그러니 오늘 저녁은,치킨입니다ㅎㅎ 고생한 나를 위해 cheers..!,"[['후라이드는 역시 비비큐..'], ['비비큐 진리죠!'], ['배달팁 너무해요 4000 ㅠㅠ'], ['넘 비쌉니다 진짜ㅠㅠ'], ['아니 배달팁이 4000원이에요??????? 너무한디요?!'], ['택시타고 픽업가는게 낫겠어요!!!'], ['제가 사는 곳이 신도시라 가게가 없는 게 슬픕니다ㅠㅠ']]"
50,2021.10.28. 18:55,배민1 할인쿠폰 4천원 주네요,"배민1 첫 주문하면 4000원 할인해주는 쿠폰 줍니다!!
저녁은 배달음식으로 가시죠ㅎㅎ","[['엥 첫 주문이 언젠기 기억도 안나는 중입니다..'], ['저도 아주 먼 옛날이라..ㅎㅎ']]"
51,2021.10.28. 15:42,이제 슬 캐롤 듣는 중입니다ㅎㅎ,"크리스마스도 이제 얼마 안남았고,
올해도 정말 얼마 안남았네요.
코로나라 하루하루가 정말 빨리 가는 것 같습니다.","[['SNOWMAN 국룰인거 아시죠~'], ['엘라 피츠제럴드... 근본있네요'], ['크으으 근본이죠'], ['👍'], ['👍👍'], ['저희 화사에선 벌써 캐롤 틀어줍니다..ㅋㅋㅋㅋㅋ'], ['ㅋㅋㅋㅋㅋㅋㅋ빨라요']]"
52,2021.10.28. 15:08,남자는 가방 악세서리가 참 힘든 것 같아요,"왜 다들 클론처럼 클러치백만 들고 다니는지 알 것 같기도 해여
뭔가 너무 작은 가방은 그 자체로 애매하고,
적당한 사이즈를 찾으면 괜찮은 디자인이 썩 많이 출시되지 않은듯 하네요
남자가방쪽은 시장이 좀 작아서 그런걸까요ㅠㅠ","[['아 그러네요... 남자는 가방이 참 몇개없네요 ㅠㅠㅠ 저는 토트백이랑 메신저백 정도만 드는 것 같습니다'], ['가장 활용도 높은 두개군여!'], ['전 가방은 엄청 많은데 드는 것만 드네요ㅋㅋㅋㅋ 저는 크로스백이나 숄더백, 그리고 최근에 호보백 사서 잘 들고 다닙니다!'], ['가방도 엄청 많으시군여 ㅋㅋㅋㅋ'], ['저두 따라서 가방쟁이가 되어보겠습니다ㅎㅎ']]"
53,2021.10.27. 22:49,저는 월말이 싫어요..,"월말이라 제출할 보고서 너무 많네요ㅠㅠ
수기로 써야 될 보고서도 있어서 오타 안 나오길 바라며..🔥
(사진은 최근에 산 제트스트림 볼펜)","[['아하... 역시 월말 월초 이런 시기에는 바쁘신 분이 많으시네요 ㅠㅠㅠ'], ['지옥이였습니다ㅋㅋㅋㅋㅋ'], ['보고서 너무 스트레스죠ㅠㅠ 화이팅입니다'], ['감사합니다!']]"
54,2021.10.26. 23:41,야식타임,살찌우러가시죵,[]
55,2021.10.26. 23:00,와 파이트클럽 꿀잼이네요,"진짜 UFC도 정말 좋아하는데,
이런 뭔가 나름 일반인들이 싸우는 것도 너무 재밌네요
요즘 유튜브는 컨텐츠를 정말 잘 뽑는것 같습니다.
내일 업로드도 기대되네요ㅠㅠ","[['진짜 개꿀잼..🤩'], ['오늘 정주행 했는데 시간 순삭입니다 ㅠㅠ']]"
56,2021.10.26. 16:09,"성시경씨 목소리 너무 좋습니다,,,","진짜 하나의 작은 콘서트 같은 영상이에요...
댓글에 나와있는것처럼 기승전결이 완벽한 영상임니다...",[]
57,2021.10.25. 10:50,그날입니다! 네이버플러스 멤버십데이💙,"오늘 하루만 추가 적립 +4%에요
쇼핑 하신다면 오늘을 추천드립니다🔥","[['정보 감사합니다ㅎㅎ'], ['30분정도 남았네요!!'], ['쇼핑을 안하니 멤버십 하고 있어도 의미가 없네요 ㅠㅠ'], ['돈을 써야 돈을 아끼는...ㅠㅠ'], ['오 네이버 맴버쉽 데이!! 이 날만 찾는 분들이 꼭 계시더라구욬ㅋㅋㅋ'], ['한달에 한 번이라 기왕이면 하는 마음이네요 ㅋㅋㅋㅋ']]"
58,2021.10.25. 10:15,월요일의 쇼핑,월요일 아침부터 엘무드는 못참지!,"[['오옹 엘무드 니트베스트 괜찮아보이는군요!'], ['지갑을여시죠..!'], ['오 너무 잘어울리실 것 같아요!!!!'], ['감사함니다!!']]"
59,2021.10.24. 23:24,오늘의 야식,내일 회의 준비 했으니 베이컨칩 과자 좀 먹고 자야겠네요ㅎㅎ 한 주 화이팅할 준비 완료🔥🔥,"[['다음주도 화이팅입니다!'], ['화이팅입니다!'], ['핫...베이컨이라닛'], ['베이컨 과자 꿀맛이에요!'], ['이게 야식....인가요?! 베이컨 치즈 버거를 드셔도 모자를 판에!! 더 드시져!'], ['요즘 살 너무 불어서 안 될 거 같습니다ㅋㅋㅋㅋ']]"
