date,corona,capsule,machine,homecafe
2018-10-06,0.00843,15.4053,26.08695,16.2877
2018-10-07,0.00888,16.40414,25.13226,18.32946
2018-10-08,0.00919,17.44141,28.4697,19.53596
2018-10-09,0.00866,17.01882,27.92076,19.76798
2018-10-10,0.00898,16.63465,31.10704,18.51508
2018-10-11,0.00906,17.63349,28.69246,17.12296
2018-10-12,0.01114,14.94429,25.39878,16.42691
2018-10-13,0.00862,13.94544,21.41294,13.73549
2018-10-14,0.00725,16.59623,25.35104,17.587
2018-10-15,0.00935,17.97925,29.48804,19.48955
2018-10-16,0.009,15.82789,28.58108,19.25754
2018-10-17,0.00921,18.93968,27.61844,19.16473
2018-10-18,0.00902,17.78716,36.08735,22.18097
2018-10-19,0.00841,17.44141,27.54286,25.24361
2018-10-20,0.00788,16.67306,21.6357,21.48491
2018-10-21,0.0079,20.43795,26.97402,23.48027
2018-10-22,0.00996,18.70918,31.39743,22.96983
2018-10-23,0.01006,18.63234,31.85488,23.8515
2018-10-24,0.01033,20.13061,27.84915,21.67053
2018-10-25,0.00984,17.74875,26.16253,19.76798
2018-10-26,0.01,14.59854,25.16806,20.0928
2018-10-27,0.00882,15.78947,22.55459,17.81902
2018-10-28,0.00807,19.17018,26.39723,23.38747
2018-10-29,0.00955,20.59162,30.25577,21.99535
2018-10-30,0.00906,21.59047,28.3265,19.48955
2018-10-31,0.00919,21.4368,27.6423,17.44779
2018-11-01,0.00919,21.6673,35.35144,18.05104
2018-11-02,0.00892,19.86169,33.66482,16.56612
2018-11-03,0.00833,14.44487,25.07657,16.65893
2018-11-04,0.00829,18.70918,28.00031,22.92343
2018-11-05,0.00841,18.24817,36.50105,26.45011
2018-11-06,0.00878,18.93968,33.73642,20.18561
2018-11-07,0.00917,19.63119,35.66569,23.15545
2018-11-08,0.00904,20.5532,35.02525,30.58004
2018-11-09,0.00909,17.01882,30.79279,20.32482
2018-11-10,0.00943,14.7522,25.14817,17.86542
2018-11-11,0.00909,18.59393,30.55411,24.31554
2018-11-12,0.00913,15.52055,33.092,22.92343
2018-11-13,0.00886,18.20975,35.02525,22.18097
2018-11-14,0.00953,17.40299,35.20824,20.88167
2018-11-15,0.00858,19.17018,32.4993,20.88167
2018-11-16,0.00882,16.28889,28.06794,20.88167
2018-11-17,0.00906,18.05608,27.61446,15.91647
2018-11-18,0.03303,20.97579,29.49998,20.83526
2018-11-19,0.01145,20.97579,34.95763,19.72157
2018-11-20,0.00906,20.89896,32.53112,20.0464
2018-11-21,0.00902,17.82558,32.42372,18.70069
2018-11-22,0.00929,20.74529,32.6783,16.3341
2018-11-23,0.0087,16.9804,31.35765,19.21113
2018-11-24,0.01312,16.13522,27.5349,15.17401
2018-11-25,0.0087,19.01651,30.8445,20.51044
2018-11-26,0.00939,20.36112,36.33796,23.15545
2018-11-27,0.00921,19.13177,33.13974,19.95359
2018-11-28,0.00911,17.32616,32.1572,21.62412
2018-11-29,0.0089,17.17249,30.574,22.32018
2018-11-30,0.00864,14.98271,27.03369,16.38051
2018-12-01,0.00854,18.70918,32.54306,18.93271
2018-12-02,0.00807,26.93046,42.16953,25.19721
2018-12-03,0.00915,25.31694,44.95803,22.5986
2018-12-04,0.00794,25.58586,41.84335,20.83526
2018-12-05,0.0088,22.32039,41.81948,21.16009
2018-12-06,0.00803,21.39838,37.11762,21.43851
2018-12-07,0.00805,20.82212,33.50173,17.91183
2018-12-08,0.00745,20.51479,32.65444,18.7935
2018-12-09,0.00931,26.73837,39.39695,25.33642
2018-12-10,0.0076,23.47291,40.49484,24.77958
2018-12-11,0.00854,22.12831,37.59099,21.76334
2018-12-12,0.00805,19.90011,36.66016,19.90719
2018-12-13,0.00849,20.74529,35.16448,21.11368
2018-12-14,0.00868,21.47522,32.35212,19.11832
2018-12-15,0.00833,18.13292,30.02903,20.27842
2018-12-16,0.00756,22.39723,35.9163,23.15545
2018-12-17,0.01019,19.63119,39.66347,22.45939
2018-12-18,0.00782,18.05608,40.28402,20.88167
2018-12-19,0.00839,19.63119,38.18369,18.97911
2018-12-20,0.0078,20.3227,35.73332,19.62877
2018-12-21,0.009,19.82328,32.31632,16.10208
2018-12-22,0.00805,18.13292,29.93356,14.10672
2018-12-23,0.00784,20.51479,33.06416,17.49419
2018-12-24,0.00821,17.67191,33.37046,15.54524
2018-12-25,0.0086,18.40184,32.79764,17.21577
2018-12-26,0.00909,19.82328,39.59584,17.49419
2018-12-27,0.00898,19.55436,37.70237,18.51508
2018-12-28,0.00915,16.90357,35.86857,15.49883
2018-12-29,0.00817,17.01882,34.24161,15.26682
2018-12-30,0.00686,21.12946,37.20116,20.55684
2018-12-31,0.01388,18.28659,33.5415,15.96287
2019-01-01,0.00823,18.47867,35.71741,17.44779
2019-01-02,0.00915,21.2063,43.82433,19.86078
2019-01-03,0.00784,19.40069,41.2228,22.27378
2019-01-04,0.00839,20.47637,38.7764,20.69605
2019-01-05,0.00845,24.24126,40.26413,19.02552
2019-01-06,0.01809,29.96542,51.8875,23.34106
2019-01-07,0.00902,25.62427,50.51513,25.0116
2019-01-08,0.00902,24.66384,43.21572,25.29002
2019-01-09,0.00931,25.97003,45.5746,23.34106
2019-01-10,0.00931,25.54744,50.87314,21.02088
2019-01-11,0.00898,23.665,41.61263,20.69605
2019-01-12,0.0089,30.46484,47.91757,21.94895
2019-01-13,0.00748,36.38109,57.4804,29.32714
2019-01-14,0.00864,28.88974,53.6139,25.1044
2019-01-15,0.00805,26.77679,57.30935,25.1044
2019-01-16,0.009,24.126,48.64155,27.70301
2019-01-17,0.00784,24.35651,45.81327,22.78422
2019-01-18,0.00817,25.16327,43.21969,25.058
2019-01-19,0.0077,26.27737,42.66677,24.77958
2019-01-20,0.00715,30.27276,51.55734,28.35266
2019-01-21,0.00756,26.1237,50.28441,27.88863
2019-01-22,0.00805,26.62312,45.87692,28.21345
2019-01-23,0.00792,27.58355,44.09881,23.8515
2019-01-24,0.00758,25.73953,41.92688,22.69141
2019-01-25,0.00741,21.93622,38.93949,20.37122
2019-01-26,0.0075,23.54975,38.44623,19.72157
2019-01-27,0.00633,24.47176,41.42169,23.7587
2019-01-28,0.00807,25.08643,45.33991,26.45011
2019-01-29,0.00833,25.35535,42.54743,23.10904
2019-01-30,0.00709,24.54859,40.43518,22.36658
2019-01-31,0.00719,20.47637,37.0858,20.13921
2019-02-01,0.00745,19.63119,30.26771,17.81902
2019-02-02,0.00731,19.51594,28.04407,19.62877
2019-02-03,0.0068,18.28659,31.50085,25.52204
2019-02-04,0.00584,20.0922,27.51899,26.54292
2019-02-05,0.00642,19.78486,26.76319,24.50116
2019-02-06,0.00686,25.0096,40.64998,27.28538
2019-02-07,0.00811,23.665,47.85393,29.04872
2019-02-08,0.00902,25.35535,43.28732,24.22273
2019-02-09,0.00748,23.97233,42.28091,29.97679
2019-02-10,0.00713,27.16096,42.61903,34.33874
2019-02-11,0.00743,25.39377,46.66056,27.5174
2019-02-12,0.00772,23.665,43.58964,26.72853
2019-02-13,0.00849,23.0119,40.8449,23.34106
2019-02-14,0.00811,22.16673,37.97287,22.41299
2019-02-15,0.0078,21.2063,34.9457,22.45939
2019-02-16,0.00866,20.5532,32.81753,22.04176
2019-02-17,0.00735,22.70457,37.15342,26.3109
2019-02-18,0.00876,23.54975,41.58478,26.3573
2019-02-19,0.00805,24.01075,40.92048,27.74941
2019-02-20,0.00741,22.16673,37.47563,22.73781
2019-02-21,0.00727,23.16557,39.66744,23.38747
2019-02-22,0.00737,23.0119,38.93154,23.8515
2019-02-23,0.00721,26.43104,38.04845,23.61948
2019-02-24,0.00703,29.85017,41.51716,29.18793
2019-02-25,0.00815,26.1237,45.92465,25.24361
2019-02-26,0.00801,24.08759,43.86013,24.54756
2019-02-27,0.0068,24.7791,42.5713,22.64501
2019-02-28,0.00758,21.74414,36.81132,21.11368
2019-03-01,0.00733,26.89204,39.7828,22.18097
2019-03-02,0.00682,24.35651,40.71363,22.5058
2019-03-03,0.0066,29.31233,41.79959,28.90951
2019-03-04,0.00607,23.24241,44.6398,20.97447
2019-03-05,0.0076,22.12831,42.74235,21.20649
2019-03-06,0.00727,28.00614,47.50785,24.96519
2019-03-07,0.00807,25.04802,41.5092,21.67053
2019-03-08,0.0077,24.24126,37.29265,21.20649
2019-03-09,0.0078,22.62773,35.86459,19.95359
2019-03-10,0.00635,25.35535,42.43207,29.51276
2019-03-11,0.00727,25.93161,44.13063,25.42923
2019-03-12,0.00784,24.04917,42.21329,24.96519
2019-03-13,0.0075,30.84902,49.54055,26.77494
2019-03-14,0.00715,22.08989,39.74302,21.67053
2019-03-15,0.00756,23.05032,37.36823,22.5522
2019-03-16,0.00792,24.97118,35.76514,22.92343
2019-03-17,0.00642,24.89435,40.63009,25.70765
2019-03-18,0.0079,27.08413,45.44731,26.03248
2019-03-19,0.00796,25.27852,42.43605,24.64037
2019-03-20,0.00837,24.27967,40.49484,24.54756
2019-03-21,0.00851,24.27967,38.4701,25.61484
2019-03-22,0.00729,21.55205,34.24559,24.40835
2019-03-23,0.00697,22.62773,32.96869,23.06264
2019-03-24,0.00582,24.39492,37.49552,32.66821
2019-03-25,0.00695,22.70457,39.46059,26.3573
2019-03-26,0.00786,24.58701,37.98082,22.69141
2019-03-27,0.0066,26.96888,37.35232,26.3109
2019-03-28,0.00794,26.50787,38.32292,24.22273
2019-03-29,0.0077,18.78601,30.55809,21.06728
2019-03-30,0.00705,21.01421,32.51521,18.93271
2019-03-31,0.00686,25.04802,38.7764,26.54292
2019-04-01,0.00796,25.16327,41.87119,23.61948
2019-04-02,0.0086,23.85708,39.13043,25.66125
2019-04-03,0.00817,25.35535,38.14391,25.70765
2019-04-04,0.00858,22.12831,34.96559,21.90255
2019-04-05,0.0077,19.2086,32.57488,22.18097
2019-04-06,0.00723,17.74875,29.00672,20.46403
2019-04-07,0.0077,22.01306,33.26305,27.19257
2019-04-08,0.00843,23.85708,38.15187,27.00696
2019-04-09,0.00794,22.05147,43.22765,28.44547
2019-04-10,0.01936,23.35766,38.02458,25.47563
2019-04-11,0.03815,25.66269,35.85265,24.22273
2019-04-12,0.00823,23.24241,37.65464,20.69605
2019-04-13,0.00843,17.28774,30.39102,18.05104
2019-04-14,0.00784,23.62658,36.10326,25.93967
2019-04-15,0.00833,21.32155,39.4049,26.58932
2019-04-16,0.00766,21.70572,37.37221,23.43387
2019-04-17,0.00919,20.36112,33.8478,22.13457
2019-04-18,0.00872,18.01767,33.62504,24.82598
2019-04-19,0.00866,18.17134,30.31544,21.11368
2019-04-20,0.00774,18.51709,28.40606,21.2529
2019-04-21,0.0089,25.04802,32.75786,22.83062
2019-04-22,0.0109,21.82097,38.16778,23.29466
2019-04-23,0.00986,21.05263,35.16846,21.53132
2019-04-24,0.00829,22.70457,33.8478,18.70069
2019-04-25,0.00849,19.90011,32.67035,21.3457
2019-04-26,0.00872,19.93853,31.6003,18.19025
2019-04-27,0.00845,19.09335,30.64561,18.23665
