날짜,코로나,홈까페,커피머신
2020-07-01,6.36533,23.28042,28.66923
2020-07-02,6.80996,17.98941,27.58759
2020-07-03,7.02,16.40211,25.71198
2020-07-04,6.06635,20.10582,27.51855
2020-07-05,6.11406,30.15873,29.69909
2020-07-06,7.01142,21.16402,28.9569
2020-07-07,5.99953,25.92592,29.7106
2020-07-08,6.03942,27.51322,27.11581
2020-07-09,5.6326,22.75132,27.37471
2020-07-10,4.50321,27.51322,24.54404
2020-07-11,3.9061,11.11111,26.45417
2020-07-12,4.14553,15.87301,34.99798
2020-07-13,4.82457,31.21693,31.44237
2020-07-14,4.73687,22.75132,30.86703
2020-07-15,4.30253,20.63492,27.63937
2020-07-16,4.43772,10.58201,26.7591
2020-07-17,4.51057,21.69312,27.20211
2020-07-18,3.63918,27.51322,26.5117
2020-07-19,3.48112,38.62433,32.97278
2020-07-20,4.72203,33.86243,29.36539
2020-07-21,4.46106,22.22222,29.25608
2020-07-22,4.60161,23.28042,30.0443
2020-07-23,4.35636,22.75132,29.19855
2020-07-24,4.37743,20.63492,41.95385
2020-07-25,4.95471,30.15873,40.92975
2020-07-26,4.02167,38.09523,43.54179
2020-07-27,3.86976,26.45502,36.48236
2020-07-28,3.67099,10.58201,33.51936
2020-07-29,3.59036,27.51322,30.91881
2020-07-30,3.79068,25.39682,30.45279
2020-07-31,3.49985,19.04761,28.39882
2020-08-01,2.92463,20.10582,30.44703
2020-08-02,3.15429,17.46031,34.43415
2020-08-03,3.7214,19.57671,30.00402
2020-08-04,3.83515,20.63492,28.93964
2020-08-05,3.74268,18.51851,29.31361
2020-08-06,3.39871,19.57671,28.11115
2020-08-07,3.0578,21.16402,26.47718
2020-08-08,2.74702,16.40211,28.55992
2020-08-09,3.04763,31.74603,33.36401
2020-08-10,3.52037,22.75132,30.98786
2020-08-11,3.56878,22.75132,30.82101
2020-08-12,3.82908,20.63492,28.85334
2020-08-13,4.33991,13.75661,26.53472
2020-08-14,12.78894,17.46031,27.12732
2020-08-15,15.51462,18.51851,24.37144
2020-08-16,24.62812,24.33862,30.53909
2020-08-17,25.7265,24.33862,32.20182
2020-08-18,33.344,23.80952,29.57827
2020-08-19,33.21282,25.92592,29.538
2020-08-20,31.55145,24.33862,28.24923
2020-08-21,29.67569,25.39682,29.16978
2020-08-22,23.10676,37.03703,31.661
2020-08-23,25.13149,38.09523,39.29578
2020-08-24,34.18865,41.26984,37.46044
2020-08-25,29.706,31.21693,35.00373
2020-08-26,29.23206,30.68783,35.30867
2020-08-27,35.01023,38.62433,39.69852
2020-08-28,31.58055,34.39153,36.29825
2020-08-29,19.67705,57.67195,43.15056
2020-08-30,17.83653,53.96825,55.53765
2020-08-31,23.56984,54.49735,48.47246
2020-09-01,20.56409,40.74074,46.70617
2020-09-02,19.40273,49.73544,49.34698
2020-09-03,18.15997,48.14814,42.44865
2020-09-04,20.85131,43.91534,44.96289
2020-09-05,11.06081,41.79894,42.24152
2020-09-06,10.559,52.91005,49.55986
2020-09-07,14.24101,44.97354,46.7522
2020-09-08,14.11007,33.86243,42.31632
2020-09-09,13.85251,34.39153,40.8607
2020-09-10,13.20558,30.15873,36.80455
2020-09-11,12.91384,29.62962,36.83907
2020-09-12,11.23112,39.68253,40.82618
2020-09-13,15.74903,35.44973,43.40947
2020-09-14,11.91549,30.15873,37.85167
2020-09-15,10.59455,23.80952,37.93222
2020-09-16,10.3442,26.98412,40.15879
2020-09-17,11.11366,30.15873,35.05552
2020-09-18,9.52865,25.39682,32.88073
2020-09-19,7.71427,20.10582,32.10402
2020-09-20,8.05224,23.80952,36.81606
2020-09-21,10.37347,22.75132,33.0936
2020-09-22,10.67669,31.74603,32.73114
2020-09-23,9.94881,32.27513,30.80375
2020-09-24,9.19194,21.69312,31.26402
2020-09-25,7.99829,20.63492,27.57033
2020-09-26,6.74215,21.69312,30.86128
2020-09-27,6.51277,31.21693,35.41798
2020-09-28,8.06144,21.69312,27.96732
2020-09-29,8.08386,18.51851,24.16431
2020-09-30,8.24367,16.40211,29.34238
2020-10-01,8.13809,15.87301,31.63799
2020-10-02,8.34265,25.92592,38.96783
2020-10-03,7.25812,28.04232,41.05057
2020-10-04,7.36026,38.09523,38.97934
2020-10-05,9.94188,40.74074,40.0092
2020-10-06,8.48925,31.21693,37.49496
2020-10-07,8.8333,22.22222,35.0325
2020-10-08,8.14877,28.04232,30.87279
2020-10-09,6.13383,33.33333,39.04263
2020-10-10,5.93547,26.45502,36.48811
2020-10-11,10.67241,35.97883,45.36562
2020-10-12,10.43516,29.62962,36.2062
2020-10-13,8.77326,26.45502,34.68154
2020-10-14,9.95134,23.80952,35.21086
2020-10-15,8.87627,25.92592,32.95552
2020-10-16,8.46211,22.22222,31.37333
2020-10-17,5.49123,21.69312,33.45031
2020-10-18,5.40719,31.21693,36.61469
2020-10-19,6.52836,24.33862,34.69305
2020-10-20,5.84255,25.92592,34.05442
2020-10-21,6.34515,28.57142,34.44565
2020-10-22,7.41251,18.51851,34.8599
2020-10-23,8.97041,22.22222,29.96375
2020-10-24,6.06029,22.22222,30.84977
2020-10-25,4.92212,20.10582,35.91853
2020-10-26,7.00023,19.04761,33.32949
2020-10-27,6.49592,17.46031,32.01772
2020-10-28,6.43143,25.39682,32.4147
2020-10-29,6.99847,17.46031,29.91772
2020-10-30,5.94742,13.22751,30.37224
2020-10-31,5.50729,19.57671,30.8095
2020-11-01,10.07112,19.57671,43.96179
2020-11-02,7.86718,13.75661,40.26235
2020-11-03,5.41746,14.81481,37.77688
2020-11-04,5.61965,16.40211,37.28784
2020-11-05,6.05917,21.16402,35.22812
2020-11-06,5.85439,24.33862,38.09907
2020-11-07,4.38538,21.69312,38.26016
2020-11-08,4.56042,28.04232,43.58782
2020-11-09,6.26972,21.69312,39.45112
2020-11-10,5.58445,24.33862,36.74126
2020-11-11,5.40734,22.75132,36.87359
2020-11-12,5.84194,18.51851,35.04401
2020-11-13,9.65288,20.63492,33.19141
2020-11-14,9.52395,19.04761,37.62154
2020-11-15,9.63113,28.57142,43.50727
2020-11-16,14.09701,16.93121,39.03112
2020-11-17,12.89994,25.92592,37.62729
2020-11-18,21.73455,25.39682,37.06346
2020-11-19,23.06987,28.04232,39.07139
2020-11-20,22.42497,24.86772,36.22921
2020-11-21,19.28253,30.15873,38.6629
2020-11-22,20.83574,43.38624,47.89712
2020-11-23,21.3509,38.09523,42.02289
2020-11-24,18.10054,27.51322,40.60755
2020-11-25,22.24255,37.56613,40.19906
2020-11-26,48.40056,31.74603,37.81715
2020-11-27,35.52447,34.39153,39.61222
2020-11-28,25.24133,31.74603,47.96616
2020-11-29,31.3923,60.31746,56.61354
2020-11-30,31.54617,40.21164,45.42891
2020-12-01,21.14642,22.22222,46.86151
2020-12-02,20.46287,25.39682,44.24371
